date,open,high,low,close,adj_close,volume
,TMP,TMP,TMP,TMP,TMP,TMP
2020-01-02,91.7699966430664,91.98999786376953,90.80000305175781,91.38999938964844,73.90557861328125,53700
2020-01-03,91.02999877929688,91.98999786376953,90.41999816894531,91.66000366210938,74.1239013671875,79000
2020-01-06,90.51000213623047,91.41999816894531,90.11000061035156,91.12000274658203,73.68722534179688,56900
2020-01-07,90.54000091552734,90.80999755859375,89.98999786376953,90.37000274658203,73.0807113647461,38300
2020-01-08,90.23999786376953,91.52999877929688,90.23999786376953,91.20999908447266,73.760009765625,34000
2020-01-09,91.30000305175781,91.7300033569336,90.80000305175781,91.1500015258789,73.71150207519531,35100
2020-01-10,91.13999938964844,91.19000244140625,90.41000366210938,90.5999984741211,73.26670837402344,31900
2020-01-13,90.7699966430664,91.87000274658203,90.0199966430664,91.87000274658203,74.29373931884766,28400
2020-01-14,91.43000030517578,92.33000183105469,91.43000030517578,91.94999694824219,74.35845184326172,34600
2020-01-15,91.80000305175781,92.4800033569336,90.6500015258789,91.33000183105469,73.85706329345703,31100
2020-01-16,91.77999877929688,93.12000274658203,91.77999877929688,92.87999725341797,75.11050415039062,24600
2020-01-17,93.66000366210938,93.66000366210938,92.37999725341797,92.44999694824219,74.76277923583984,29100
2020-01-21,92.12999725341797,92.61000061035156,91.0,91.41000366210938,73.9217300415039,45600
2020-01-22,91.80000305175781,92.30999755859375,90.68000030517578,90.80999755859375,73.43655395507812,23700
2020-01-23,89.93000030517578,91.30000305175781,89.55999755859375,91.30000305175781,73.83280181884766,36600
2020-01-24,91.0,92.81999969482422,87.80999755859375,89.30999755859375,72.22350311279297,26500
2020-01-27,88.0999984741211,89.98999786376953,87.22000122070312,89.11000061035156,72.061767578125,24500
2020-01-28,90.33000183105469,90.37999725341797,87.52999877929688,87.94999694824219,71.12370300292969,37800
2020-01-29,88.05000305175781,88.5,86.5,86.97000122070312,70.33119201660156,25200
2020-01-30,86.43000030517578,87.9800033569336,86.37999725341797,87.76000213623047,70.97005462646484,21500
2020-01-31,87.97000122070312,89.37000274658203,86.08000183105469,86.08999633789062,69.61955261230469,32800
2020-02-03,86.05999755859375,88.25,86.05999755859375,88.23999786376953,71.35820770263672,46300
2020-02-04,89.26000213623047,89.77999877929688,87.61000061035156,88.02999877929688,71.18839263916016,31100
2020-02-05,88.87999725341797,90.13999938964844,88.62999725341797,89.8499984741211,72.66020202636719,23900
2020-02-06,89.9000015258789,90.63999938964844,87.4800033569336,88.94000244140625,71.92430114746094,23500
2020-02-07,88.20999908447266,88.20999908447266,87.30000305175781,87.52999877929688,71.20034790039062,20600
