date,open,high,low,close,adj_close,volume
,LFUS,LFUS,LFUS,LFUS,LFUS,LFUS
2020-01-02,192.9600067138672,193.61000061035156,190.25999450683594,193.47999572753906,182.31875610351562,65400
2020-01-03,191.14999389648438,191.77999877929688,188.86000061035156,191.00999450683594,179.99124145507812,85000
2020-01-06,189.5,189.80999755859375,187.07000732421875,187.38999938964844,176.5800323486328,171900
2020-01-07,187.85000610351562,193.17999267578125,187.05999755859375,191.92999267578125,180.85816955566406,110900
2020-01-08,191.47000122070312,193.44000244140625,190.02000427246094,191.82000732421875,180.7545166015625,81600
2020-01-09,193.11000061035156,193.11000061035156,189.6199951171875,190.64999389648438,179.65199279785156,88900
2020-01-10,190.63999938964844,192.61000061035156,189.55999755859375,191.11000061035156,180.08547973632812,83800
2020-01-13,191.16000366210938,193.7100067138672,190.16000366210938,193.5500030517578,182.3847198486328,61500
2020-01-14,193.2100067138672,196.0,192.11000061035156,193.3800048828125,182.2245635986328,181100
2020-01-15,193.2100067138672,195.35000610351562,190.4499969482422,191.41000366210938,180.3681640625,135400
2020-01-16,192.86000061035156,193.36000061035156,190.86000061035156,192.3300018310547,181.23512268066406,97100
2020-01-17,192.1300048828125,193.3800048828125,189.0800018310547,190.82000732421875,179.81222534179688,121400
2020-01-21,189.67999267578125,191.61000061035156,189.22000122070312,190.86000061035156,179.8498992919922,94500
2020-01-22,190.8699951171875,193.44000244140625,190.8699951171875,191.83999633789062,180.7733612060547,191200
2020-01-23,192.0800018310547,193.7100067138672,189.66000366210938,190.8300018310547,179.8216094970703,199500
2020-01-24,191.80999755859375,192.39999389648438,189.05999755859375,189.80999755859375,178.86045837402344,122300
2020-01-27,186.14999389648438,187.69000244140625,184.36000061035156,184.55999755859375,173.91329956054688,134500
2020-01-28,185.83999633789062,187.6199951171875,184.6300048828125,186.77000427246094,175.9958038330078,100800
2020-01-29,183.75999450683594,187.83999633789062,178.5,180.36000061035156,169.9556121826172,271100
2020-01-30,178.27999877929688,183.3800048828125,177.36000061035156,183.02000427246094,172.46214294433594,200900
2020-01-31,183.1199951171875,183.1199951171875,174.0,176.91000366210938,166.70462036132812,182900
2020-02-03,178.22000122070312,180.5399932861328,176.72000122070312,177.16000366210938,166.94021606445312,109200
2020-02-04,191.8699951171875,191.8699951171875,183.0500030517578,183.91000366210938,173.30081176757812,175500
2020-02-05,186.11000061035156,188.5800018310547,182.86000061035156,188.5,177.62603759765625,132600
2020-02-06,188.63999938964844,188.8800048828125,186.86000061035156,187.75999450683594,176.9287109375,131800
2020-02-07,186.4600067138672,186.4600067138672,184.07000732421875,184.08999633789062,173.470458984375,120600
2020-02-10,182.75999450683594,184.77000427246094,182.0500030517578,184.60000610351562,173.9510040283203,105600
2020-02-11,185.0,189.05999755859375,184.5,184.50999450683594,173.86622619628906,82300
2020-02-12,186.4499969482422,186.47999572753906,184.77999877929688,185.69000244140625,174.97811889648438,74000
2020-02-13,185.89999389648438,186.52000427246094,182.5,185.7899932861328,175.07237243652344,85700
2020-02-14,186.39999389648438,186.39999389648438,183.97000122070312,184.72999572753906,174.07354736328125,67700
2020-02-18,182.83999633789062,186.0800018310547,182.8000030517578,185.64999389648438,174.94039916992188,92100
2020-02-19,186.05999755859375,187.86000061035156,186.05999755859375,187.3000030517578,176.95281982421875,95000
2020-02-20,187.0,188.72999572753906,185.8300018310547,188.13999938964844,177.74635314941406,61200
2020-02-21,187.1699981689453,187.1699981689453,182.35000610351562,182.61000061035156,172.52186584472656,84000
2020-02-24,175.61000061035156,177.35000610351562,173.0399932861328,175.44000244140625,165.7479705810547,142500
2020-02-25,176.42999267578125,176.75999450683594,169.8800048828125,170.94000244140625,161.49658203125,118400
2020-02-26,172.14999389648438,174.14999389648438,168.3000030517578,168.64999389648438,159.33309936523438,81200
2020-02-27,164.3300018310547,169.52999877929688,161.5,161.52000427246094,152.5969696044922,104800
2020-02-28,156.75999450683594,162.2100067138672,155.02000427246094,159.67999267578125,150.858642578125,190000
2020-03-02,161.27999877929688,163.38999938964844,156.4600067138672,163.1699981689453,154.1558380126953,148200
2020-03-03,163.35000610351562,167.97000122070312,161.1699981689453,161.6300048828125,152.70089721679688,170000
2020-03-04,164.4499969482422,167.66000366210938,160.58999633789062,166.16000366210938,156.98062133789062,151900
2020-03-05,161.66000366210938,163.22999572753906,153.4499969482422,154.52000427246094,145.9836883544922,143600
2020-03-06,150.02000427246094,158.86000061035156,149.82000732421875,156.49000549316406,147.84483337402344,159800
2020-03-09,148.55999755859375,155.5399932861328,139.69000244140625,141.97000122070312,134.12698364257812,156000
2020-03-10,146.22999572753906,150.74000549316406,143.07000732421875,150.30999755859375,142.00625610351562,234800
2020-03-11,145.38999938964844,147.64999389648438,137.8300018310547,138.9600067138672,131.28329467773438,213900
2020-03-12,131.07000732421875,147.9499969482422,123.33000183105469,129.47000122070312,122.31756591796875,341900
2020-03-13,135.22000122070312,137.3000030517578,118.81999969482422,129.44000244140625,122.28919219970703,266100
2020-03-16,117.26000213623047,128.4199981689453,116.66999816894531,117.06999969482422,110.60258483886719,213400
2020-03-17,120.58999633789062,131.3699951171875,114.08999633789062,130.6199951171875,123.40400695800781,355100
2020-03-18,122.0,125.37999725341797,103.62999725341797,105.80000305175781,99.95518493652344,271100
2020-03-19,106.43000030517578,120.66000366210938,104.44999694824219,117.30999755859375,110.82930755615234,171900
2020-03-20,117.76000213623047,122.3499984741211,111.08000183105469,113.08999633789062,106.84244537353516,192700
2020-03-23,113.08999633789062,115.72000122070312,104.13999938964844,112.72000122070312,106.4928970336914,182000
2020-03-24,119.87000274658203,130.25999450683594,116.44999694824219,129.64999389648438,122.48758697509766,167600
2020-03-25,128.97999572753906,133.05999755859375,124.66999816894531,125.79000091552734,118.8408432006836,212600
2020-03-26,128.11000061035156,143.0399932861328,121.69999694824219,138.3699951171875,130.7258758544922,169600
2020-03-27,133.0800018310547,133.61000061035156,124.27999877929688,125.3499984741211,118.42515563964844,199500
2020-03-30,124.79000091552734,133.66000366210938,121.26000213623047,132.47000122070312,125.15179443359375,141800
2020-03-31,131.58999633789062,134.8699951171875,130.63999938964844,133.4199981689453,126.04930114746094,156800
