date,open,high,low,close,adj_close,volume
,MZTI,MZTI,MZTI,MZTI,MZTI,MZTI
2020-01-02,160.69000244140625,162.24000549316406,155.17999267578125,156.41000366210938,139.28941345214844,131900
2020-01-03,156.0399932861328,157.6199951171875,154.67999267578125,156.88999938964844,139.7168731689453,111300
2020-01-06,155.83999633789062,157.4199981689453,154.4600067138672,155.4499969482422,138.43447875976562,91400
2020-01-07,154.89999389648438,156.3000030517578,154.38999938964844,156.1699981689453,139.07569885253906,86500
2020-01-08,155.74000549316406,158.05999755859375,155.67999267578125,157.24000549316406,140.028564453125,105400
2020-01-09,157.8300018310547,158.42999267578125,155.74000549316406,157.25,140.03744506835938,107100
2020-01-10,157.25999450683594,159.77999877929688,156.75,158.88999938964844,141.4979248046875,103700
2020-01-13,159.1199951171875,163.3699951171875,155.3699951171875,162.91000366210938,145.0779266357422,134400
2020-01-14,162.74000549316406,163.5800018310547,159.27999877929688,161.67999267578125,143.98252868652344,124700
2020-01-15,161.5500030517578,163.17999267578125,159.7899932861328,160.74000549316406,143.14547729492188,102400
2020-01-16,161.4600067138672,163.0800018310547,160.25999450683594,161.57000732421875,143.8845977783203,71500
2020-01-17,162.6300048828125,162.8000030517578,160.3300018310547,160.39999389648438,142.8426513671875,84600
2020-01-21,160.5800018310547,161.05999755859375,160.00999450683594,160.75999450683594,143.1632537841797,78400
2020-01-22,162.99000549316406,162.99000549316406,161.11000061035156,162.52000427246094,144.7306365966797,73800
2020-01-23,162.6699981689453,165.49000549316406,161.6300048828125,163.4499969482422,145.5587921142578,144300
2020-01-24,164.02000427246094,164.02000427246094,162.3800048828125,163.1300048828125,145.27381896972656,133200
2020-01-27,162.19000244140625,165.5,161.6999969482422,162.89999389648438,145.06903076171875,112700
2020-01-28,163.6199951171875,163.6199951171875,159.47999572753906,159.92999267578125,142.42410278320312,111500
2020-01-29,160.6999969482422,162.3699951171875,157.17999267578125,157.19000244140625,139.98402404785156,101500
2020-01-30,156.7100067138672,158.77999877929688,156.52999877929688,158.58999633789062,141.23080444335938,115200
2020-01-31,158.07000732421875,158.19000244140625,153.6300048828125,154.64999389648438,137.72206115722656,450000
2020-02-03,155.5500030517578,157.4199981689453,154.86000061035156,155.7899932861328,138.73724365234375,196400
2020-02-04,156.27999877929688,160.44000244140625,152.0,153.7100067138672,136.88499450683594,297700
2020-02-05,154.94000244140625,155.8699951171875,152.55999755859375,152.72000122070312,136.00328063964844,159700
