date,open,high,low,close,adj_close,volume
,MTX,MTX,MTX,MTX,MTX,MTX
2020-01-02,58.279998779296875,58.41999816894531,56.619998931884766,57.439998626708984,55.92726135253906,142700
2020-01-03,56.119998931884766,57.040000915527344,56.099998474121094,56.709999084472656,55.21647644042969,138300
2020-01-06,56.060001373291016,56.709999084472656,55.68000030517578,56.02000045776367,54.54467010498047,151200
2020-01-07,55.619998931884766,56.34000015258789,55.47999954223633,55.68000030517578,54.21360778808594,117300
2020-01-08,55.68000030517578,56.34000015258789,55.290000915527344,56.130001068115234,54.651763916015625,164700
2020-01-09,56.63999938964844,56.75,55.689998626708984,55.83000183105469,54.35966491699219,188200
2020-01-10,55.970001220703125,56.09000015258789,55.349998474121094,55.58000183105469,54.11626052856445,128800
2020-01-13,55.72999954223633,57.029998779296875,55.43000030517578,57.0099983215332,55.508583068847656,108900
2020-01-14,56.70000076293945,57.709999084472656,56.52000045776367,57.15999984741211,55.65463638305664,82800
2020-01-15,56.84000015258789,57.869998931884766,56.84000015258789,57.560001373291016,56.04410934448242,207100
2020-01-16,58.0,58.970001220703125,58.0,58.90999984741211,57.35855484008789,131700
2020-01-17,59.130001068115234,59.18000030517578,58.54999923706055,58.869998931884766,57.31959915161133,147500
2020-01-21,58.400001525878906,58.40999984741211,57.130001068115234,57.220001220703125,55.71305465698242,126000
2020-01-22,57.2400016784668,57.689998626708984,57.08000183105469,57.529998779296875,56.014896392822266,105500
2020-01-23,57.0,57.63999938964844,55.849998474121094,57.31999969482422,55.8104248046875,133600
2020-01-24,57.619998931884766,57.619998931884766,55.689998626708984,56.04999923706055,54.57387924194336,107200
2020-01-27,54.59000015258789,55.619998931884766,54.150001525878906,55.04999923706055,53.6002082824707,133100
2020-01-28,55.5099983215332,56.29999923706055,55.43000030517578,55.869998931884766,54.39861297607422,108500
2020-01-29,55.97999954223633,56.5,55.400001525878906,55.43000030517578,53.97019958496094,74600
2020-01-30,54.63999938964844,55.34000015258789,53.869998931884766,55.16999816894531,53.717044830322266,79700
2020-01-31,57.060001373291016,58.36000061035156,53.9900016784668,54.130001068115234,52.70444107055664,284200
2020-02-03,54.4900016784668,55.59000015258789,54.4900016784668,55.380001068115234,53.92151641845703,193800
2020-02-04,56.369998931884766,56.709999084472656,55.5099983215332,55.560001373291016,54.096778869628906,157600
2020-02-05,56.529998779296875,57.869998931884766,55.720001220703125,57.83000183105469,56.30699157714844,195200
2020-02-06,57.93000030517578,58.41999816894531,56.810001373291016,57.099998474121094,55.596214294433594,102100
2020-02-07,56.61000061035156,56.61000061035156,55.59000015258789,55.650001525878906,54.18440628051758,85000
2020-02-10,55.4900016784668,56.060001373291016,55.41999816894531,55.86000061035156,54.38888168334961,83500
2020-02-11,56.45000076293945,57.400001525878906,55.790000915527344,55.81999969482422,54.34992218017578,127700
2020-02-12,56.599998474121094,57.5099983215332,56.4900016784668,56.970001220703125,55.469642639160156,90200
2020-02-13,56.470001220703125,56.720001220703125,55.900001525878906,56.40999984741211,54.972633361816406,78200
2020-02-14,56.310001373291016,56.58000183105469,55.279998779296875,55.439998626708984,54.02734375,76600
2020-02-18,55.209999084472656,55.59000015258789,54.45000076293945,55.130001068115234,53.72525405883789,112400
2020-02-19,55.27000045776367,55.84000015258789,55.0,55.38999938964844,53.97862243652344,120500
2020-02-20,54.90999984741211,56.599998474121094,54.90999984741211,55.81999969482422,54.39767074584961,85200
2020-02-21,55.70000076293945,56.290000915527344,54.959999084472656,55.33000183105469,53.9201545715332,113200
2020-02-24,52.5,53.709999084472656,51.7400016784668,51.83000183105469,50.509342193603516,151400
2020-02-25,51.720001220703125,51.959999084472656,49.2599983215332,49.41999816894531,48.160743713378906,173000
