date,open,high,low,close,adj_close,volume
,ORXCF,ORXCF,ORXCF,ORXCF,ORXCF,ORXCF
2020-01-02,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-03,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-06,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-07,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-08,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-09,16.5,16.5,16.5,16.5,13.182147979736328,24700
2020-01-10,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-13,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-14,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-15,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-16,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-17,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-21,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-22,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-23,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-24,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-27,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-28,16.5,16.5,16.5,16.5,13.182147979736328,0
2020-01-29,17.0,17.0,17.0,17.0,13.581605911254883,2100
2020-01-30,17.0,17.0,17.0,17.0,13.581605911254883,0
2020-01-31,17.0,17.0,17.0,17.0,13.581605911254883,0
2020-02-03,17.0,17.0,17.0,17.0,13.581605911254883,0
2020-02-04,17.5,17.5,17.5,17.5,13.981064796447754,400
2020-02-05,17.5,17.5,17.5,17.5,13.981064796447754,223000
2020-02-06,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,14.060957908630371,291800
2020-02-07,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,14.060957908630371,4100
2020-02-10,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,14.060957908630371,0
2020-02-11,18.0,18.0,18.0,18.0,14.380525588989258,100
2020-02-12,18.0,18.0,18.0,18.0,14.380525588989258,100
2020-02-13,18.0,18.0,18.0,18.0,14.380525588989258,19600
2020-02-14,18.0,18.0,18.0,18.0,14.380525588989258,0
2020-02-18,18.0,18.0,18.0,18.0,14.380525588989258,0
2020-02-19,17.350000381469727,17.350000381469727,17.350000381469727,17.350000381469727,13.861226081848145,200
