date,open,high,low,close,adj_close,volume
,ABEO,ABEO,ABEO,ABEO,ABEO,ABEO
2020-01-02,89.75,90.0,79.25,80.25,80.25,75380
2020-01-03,80.0,80.25,72.25,72.5,72.5,143544
2020-01-06,72.0,72.0,65.5,69.25,69.25,117164
2020-01-07,70.0,70.0,63.75,64.25,64.25,95260
2020-01-08,63.5,68.0,62.5,65.5,65.5,72984
2020-01-09,64.25,71.25,63.25,65.25,65.25,83532
2020-01-10,65.5,65.75,63.5,63.5,63.5,70088
2020-01-13,63.75,65.75,58.5,59.0,59.0,73536
2020-01-14,60.0,65.5,57.5,64.5,64.5,57772
2020-01-15,64.5,67.5,63.0,66.0,66.0,48508
2020-01-16,66.75,69.25,63.5,63.5,63.5,36012
2020-01-17,64.25,65.0,63.0,63.5,63.5,54516
2020-01-21,63.75,73.0,62.75,69.5,69.5,116940
2020-01-22,70.75,72.0,68.75,71.5,71.5,48092
2020-01-23,71.75,73.25,69.5,70.5,70.5,51924
2020-01-24,70.5,71.0,65.25,65.75,65.75,44152
2020-01-27,65.75,65.75,59.25,59.5,59.5,79804
2020-01-28,60.25,62.75,59.75,61.5,61.5,34876
2020-01-29,62.0,63.25,59.25,59.5,59.5,31216
2020-01-30,58.75,60.25,57.5,59.25,59.25,31128
2020-01-31,59.5,59.5,53.75,54.25,54.25,73388
2020-02-03,55.0,56.5,54.0,54.75,54.75,47268
2020-02-04,56.0,61.0,55.25,60.5,60.5,47888
2020-02-05,62.0,69.0,61.5,66.0,66.0,81072
2020-02-06,66.5,67.75,63.75,66.0,66.0,23724
2020-02-07,65.5,66.0,62.75,62.75,62.75,24036
2020-02-10,65.0,73.5,65.0,73.25,73.25,123792
2020-02-11,74.75,84.5,73.25,79.0,79.0,124836
2020-02-12,81.0,86.25,73.0,79.25,79.25,92956
2020-02-13,79.25,79.25,74.0,77.25,77.25,44028
2020-02-14,77.25,80.0,75.5,79.25,79.25,35524
2020-02-18,83.75,93.75,80.5,87.5,87.5,132932
2020-02-19,89.5,104.5,87.5,102.0,102.0,174792
2020-02-20,100.75,103.0,92.75,100.5,100.5,92480
2020-02-21,100.75,108.5,98.0,101.25,101.25,76260
2020-02-24,94.25,99.75,90.5,97.75,97.75,53972
2020-02-25,98.5,101.75,92.5,97.25,97.25,70948
2020-02-26,98.0,101.0,89.0,92.25,92.25,64372
2020-02-27,88.0,91.0,81.25,82.75,82.75,99556
2020-02-28,80.25,85.5,76.25,77.0,77.0,93404
2020-03-02,77.0,85.0,72.5,84.0,84.0,107112
2020-03-03,84.0,87.75,76.5,78.5,78.5,47612
2020-03-04,82.0,82.5,76.25,82.25,82.25,44024
2020-03-05,80.0,82.25,74.5,74.75,74.75,45200
2020-03-06,72.0,72.5,66.5,68.0,68.0,77616
2020-03-09,62.5,64.0,55.75,59.0,59.0,60284
2020-03-10,61.75,65.25,57.5,59.0,59.0,53768
2020-03-11,58.75,59.75,53.0,54.75,54.75,48228
2020-03-12,49.5,49.75,41.75,43.25,43.25,80748
2020-03-13,46.0,46.5,40.75,43.5,43.5,61056
2020-03-16,39.75,40.5,34.75,36.25,36.25,53512
2020-03-17,40.0,55.0,33.75,51.0,51.0,132276
2020-03-18,49.5,49.5,41.25,42.5,42.5,59136
2020-03-19,42.75,49.5,42.75,44.5,44.5,46484
2020-03-20,46.5,55.75,45.5,53.25,53.25,198868
2020-03-23,53.25,53.75,45.75,48.75,48.75,48156
