date,open,high,low,close,adj_close,volume
,AYTU,AYTU,AYTU,AYTU,AYTU,AYTU
2020-01-02,196.0,218.0,196.0,208.0,208.0,845
2020-01-03,210.0,216.0,200.0,200.0,200.0,295
2020-01-06,200.0,202.0,190.0,194.0,194.0,521
2020-01-07,192.0,200.0,172.0,182.0,182.0,662
2020-01-08,184.0,190.0,164.0,180.0,180.0,320
2020-01-09,184.0,184.0,168.0,170.0,170.0,349
2020-01-10,170.0,178.0,150.0,160.0,160.0,1259
2020-01-13,164.0,166.0,160.0,162.0,162.0,408
2020-01-14,170.0,180.0,162.0,164.0,164.0,1315
2020-01-15,170.0,170.0,152.0,154.0,154.0,1400
2020-01-16,156.0,164.0,156.0,164.0,164.0,541
2020-01-17,164.0,164.0,152.0,160.0,160.0,428
2020-01-21,162.0,174.0,162.0,174.0,174.0,1355
2020-01-22,174.0,190.0,162.0,164.0,164.0,1302
2020-01-23,164.0,166.0,160.0,164.0,164.0,321
2020-01-24,168.0,168.0,160.0,162.0,162.0,304
2020-01-27,166.0,166.0,160.0,160.0,160.0,313
2020-01-28,160.0,162.0,158.0,162.0,162.0,308
2020-01-29,166.0,172.0,158.0,158.0,158.0,259
2020-01-30,158.0,162.0,150.0,154.0,154.0,617
2020-01-31,156.0,156.0,142.0,144.0,144.0,512
2020-02-03,144.0,148.0,142.0,142.0,142.0,260
2020-02-04,144.0,154.0,142.0,146.0,146.0,653
2020-02-05,142.0,156.0,142.0,142.0,142.0,680
2020-02-06,148.0,148.0,140.0,144.0,144.0,382
2020-02-07,148.0,148.0,140.0,142.0,142.0,226
2020-02-10,140.0,148.0,132.0,148.0,148.0,311
2020-02-11,144.0,144.0,134.0,142.0,142.0,275
2020-02-12,140.0,160.0,140.0,154.0,154.0,488
2020-02-13,158.0,160.0,150.0,152.0,152.0,1614
2020-02-14,188.0,188.0,154.0,158.0,158.0,4798
2020-02-18,160.0,164.0,150.0,158.0,158.0,2216
2020-02-19,156.0,156.0,142.0,146.0,146.0,1854
2020-02-20,146.0,156.0,134.0,142.0,142.0,4902
2020-02-21,144.0,154.0,136.0,150.0,150.0,7597
2020-02-24,152.0,152.0,138.0,142.0,142.0,5285
2020-02-25,138.0,140.0,122.0,126.0,126.0,5781
2020-02-26,126.0,130.0,122.0,124.0,124.0,1447
2020-02-27,120.0,122.0,100.0,110.0,110.0,2388
2020-02-28,114.0,124.0,102.0,106.0,106.0,5624
2020-03-02,108.0,112.0,106.0,108.0,108.0,1582
2020-03-03,112.0,126.0,106.0,112.0,112.0,9103
2020-03-04,118.0,134.0,110.0,120.0,120.0,14703
2020-03-05,118.0,118.0,100.0,104.0,104.0,7342
2020-03-06,100.0,104.0,92.0,94.0,94.0,4238
2020-03-09,90.0,90.0,68.0,70.0,70.0,6538
2020-03-10,260.0,598.0,182.0,410.0,410.0,920462
2020-03-11,408.0,490.0,266.0,270.0,270.0,519996
2020-03-12,294.0,394.0,280.0,368.0,368.0,437609
2020-03-13,320.0,322.0,160.0,230.0,230.0,255518
2020-03-16,298.0,380.0,250.0,316.0,316.0,419489
2020-03-17,356.0,360.0,276.0,310.0,310.0,267418
2020-03-18,284.0,310.0,270.0,294.0,294.0,102799
2020-03-19,360.0,364.0,214.0,260.0,260.0,294823
2020-03-20,258.0,274.0,234.0,272.0,272.0,100023
2020-03-23,368.0,398.0,330.0,374.0,374.0,613958
2020-03-24,420.0,444.0,346.0,398.0,398.0,406642
2020-03-25,360.0,364.0,310.0,336.0,336.0,129628
