date,open,high,low,close,adj_close,volume
,BWMY,BWMY,BWMY,BWMY,BWMY,BWMY
2020-01-02,0.5,0.5,0.4000000059604645,0.4000000059604645,0.4000000059604645,1250
2020-01-03,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2020-01-06,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,500
2020-01-07,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-08,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-09,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-10,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-13,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-14,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-15,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-16,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-17,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-21,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-22,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-23,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-24,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-27,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-28,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-29,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-30,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-01-31,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-02-03,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-02-04,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-02-05,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-02-06,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-02-07,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0
2020-02-10,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,3750
2020-02-11,0.5,0.5,0.5,0.5,0.5,10000
2020-02-12,0.5,0.5,0.5,0.5,0.5,13525
2020-02-13,0.5,0.5,0.5,0.5,0.5,0
2020-02-14,0.5,0.5,0.5,0.5,0.5,0
2020-02-18,0.5,0.5,0.5,0.5,0.5,0
2020-02-19,0.5,0.5,0.5,0.5,0.5,0
2020-02-20,0.5,0.5,0.5,0.5,0.5,0
2020-02-21,0.5,0.5,0.5,0.5,0.5,0
2020-02-24,0.5,0.5,0.5,0.5,0.5,0
2020-02-25,0.5,0.5,0.5,0.5,0.5,0
2020-02-26,0.5,0.5,0.5,0.5,0.5,0
2020-02-27,0.5,0.5,0.5,0.5,0.5,0
2020-02-28,0.5,0.5,0.5,0.5,0.5,0
2020-03-02,0.5,0.5,0.5,0.5,0.5,0
2020-03-03,0.5,0.5,0.5,0.5,0.5,0
2020-03-04,0.5,0.5,0.5,0.5,0.5,0
2020-03-05,0.5,0.5,0.5,0.5,0.5,0
2020-03-06,0.5,0.5,0.5,0.5,0.5,0
2020-03-09,0.5,0.5,0.5,0.5,0.5,0
2020-03-10,0.5,0.5,0.5,0.5,0.5,0
2020-03-11,0.5,0.5,0.5,0.5,0.5,0
2020-03-12,0.5,0.5,0.5,0.5,0.5,0
2020-03-13,0.5,0.5,0.5,0.5,0.5,0
2020-03-16,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,2000
2020-03-17,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,0
2020-03-18,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,0
2020-03-19,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,0
2020-03-20,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,0
2020-03-23,0.5,0.5,0.5,0.5,0.5,500
2020-03-24,0.5,0.5,0.5,0.5,0.5,0
2020-03-25,0.5,0.5,0.5,0.5,0.5,0
2020-03-26,0.5,0.5,0.5,0.5,0.5,0
2020-03-27,0.5,0.5,0.5,0.5,0.5,0
2020-03-30,0.5,0.5,0.5,0.5,0.5,0
2020-03-31,0.5,0.5,0.5,0.5,0.5,0
2020-04-01,0.5,0.5,0.5,0.5,0.5,0
2020-04-02,0.5,0.5,0.5,0.5,0.5,0
2020-04-03,0.5,0.5,0.5,0.5,0.5,0
2020-04-06,0.5,0.5,0.5,0.5,0.5,0
2020-04-07,0.5,0.5,0.5,0.5,0.5,0
2020-04-08,0.5,0.5,0.5,0.5,0.5,0
2020-04-09,0.5,0.5,0.5,0.5,0.5,0
2020-04-13,0.5,0.5,0.5,0.5,0.5,0
2020-04-14,0.5,0.5,0.5,0.5,0.5,0
2020-04-15,0.5,0.5,0.5,0.5,0.5,0
2020-04-16,0.5,0.5,0.5,0.5,0.5,0
2020-04-17,0.5,0.5,0.5,0.5,0.5,0
2020-04-20,0.5,0.5,0.5,0.5,0.5,0
2020-04-21,0.5,0.5,0.5,0.5,0.5,0
2020-04-22,0.5,0.5,0.5,0.5,0.5,0
2020-04-23,0.5,0.5,0.5,0.5,0.5,0
2020-04-24,0.5,0.5,0.5,0.5,0.5,0
2020-04-27,0.5,0.5,0.5,0.5,0.5,0
2020-04-28,0.5,0.5,0.5,0.5,0.5,0
2020-04-29,0.5,0.5,0.5,0.5,0.5,0
2020-04-30,0.5,0.5,0.5,0.5,0.5,0
2020-05-01,0.5,0.5,0.5,0.5,0.5,0
2020-05-04,0.5,0.5,0.5,0.5,0.5,0
2020-05-05,0.5,0.5,0.5,0.5,0.5,0
2020-05-06,0.5,0.5,0.5,0.5,0.5,0
2020-05-07,0.4259999990463257,0.4259999990463257,0.4259999990463257,0.4259999990463257,0.4259999990463257,1000
2020-05-08,0.4259999990463257,0.4259999990463257,0.4259999990463257,0.4259999990463257,0.4259999990463257,0
2020-05-11,0.4259999990463257,0.4259999990463257,0.4259999990463257,0.4259999990463257,0.4259999990463257,0
2020-05-12,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,750
2020-05-13,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-14,0.4000000059604645,0.4300000071525574,0.4000000059604645,0.4300000071525574,0.4300000071525574,6750
2020-05-15,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-18,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-19,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-20,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-21,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-22,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-26,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-27,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-28,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-05-29,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-01,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-02,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-03,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-04,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-05,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-08,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-09,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-10,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-11,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-12,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-15,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0
2020-06-16,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,500
2020-06-17,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0
2020-06-18,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0
2020-06-19,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0.4320000112056732,0
2020-06-22,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,500
2020-06-23,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-06-24,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-06-25,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-06-26,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-06-29,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-06-30,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-01,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-02,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-06,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-07,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-08,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-09,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-10,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-13,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-14,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-15,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-16,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-17,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-20,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-21,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-22,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-23,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.4399999976158142,0
2020-07-24,0.4000000059604645,0.4000000059604645,0.20000000298023224,0.20000000298023224,0.20000000298023224,1000
2020-07-27,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-07-28,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-07-29,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-07-30,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-07-31,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-03,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-04,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-05,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-06,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-07,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-10,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-11,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-12,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-13,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-14,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-17,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-18,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-19,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-20,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0
2020-08-21,0.3959999978542328,0.3959999978542328,0.3959999978542328,0.3959999978542328,0.3959999978542328,750
2020-08-24,0.39800000190734863,0.4000000059604645,0.3779999911785126,0.3799999952316284,0.3799999952316284,15625
2020-08-25,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-08-26,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-08-27,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-08-28,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-08-31,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-01,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-02,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,1250
2020-09-03,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-04,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-08,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-09,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-10,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-11,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-14,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-15,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-16,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-17,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-18,0.28999999165534973,0.3799999952316284,0.28999999165534973,0.3799999952316284,0.3799999952316284,2000
2020-09-21,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,500
2020-09-22,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,500
2020-09-23,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-24,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0
2020-09-25,0.24400000274181366,0.39800000190734863,0.1509999930858612,0.20000000298023224,0.20000000298023224,34525
2020-09-28,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,500
2020-09-29,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2020-09-30,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2020-10-01,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
