date,open,high,low,close,adj_close,volume
,MNRO,MNRO,MNRO,MNRO,MNRO,MNRO
2020-01-02,78.75,79.33000183105469,78.22000122070312,78.91999816894531,65.11792755126953,153900
2020-01-03,78.13999938964844,79.56999969482422,77.98999786376953,79.11000061035156,65.2746810913086,324300
2020-01-06,78.70999908447266,79.16999816894531,77.04000091552734,78.58999633789062,64.84563446044922,196900
2020-01-07,78.29000091552734,78.30000305175781,76.4000015258789,77.33000183105469,63.805992126464844,194800
2020-01-08,77.37999725341797,78.7699966430664,76.87000274658203,77.4800033569336,63.929771423339844,217500
2020-01-09,77.52999877929688,78.02999877929688,75.70999908447266,75.7699966430664,62.51881408691406,164000
2020-01-10,75.52999877929688,76.04000091552734,74.94000244140625,75.02999877929688,61.908233642578125,543700
2020-01-13,75.05999755859375,76.01000213623047,74.0999984741211,75.9800033569336,62.692100524902344,253300
2020-01-14,75.69000244140625,76.5199966430664,75.31999969482422,75.5199966430664,62.31253433227539,232800
2020-01-15,75.41999816894531,76.66999816894531,73.91999816894531,76.52999877929688,63.14591598510742,230400
2020-01-16,76.94999694824219,77.45999908447266,75.83999633789062,76.25,62.914878845214844,232200
2020-01-17,76.5999984741211,76.5999984741211,75.19000244140625,75.27999877929688,62.11451721191406,309700
2020-01-21,75.06999969482422,75.58000183105469,73.7699966430664,74.5,61.470924377441406,230700
2020-01-22,74.62000274658203,75.41999816894531,74.3499984741211,74.69999694824219,61.635955810546875,201200
2020-01-23,74.7300033569336,75.27999877929688,74.2699966430664,74.58999633789062,61.5451774597168,249400
2020-01-24,74.69999694824219,74.69999694824219,70.98999786376953,71.30999755859375,58.83880615234375,223500
2020-01-27,70.29000091552734,71.81999969482422,70.29000091552734,70.95999908447266,58.5500373840332,601300
2020-01-28,71.30000305175781,71.41999816894531,70.43000030517578,70.8499984741211,58.459259033203125,293400
2020-01-29,70.56999969482422,71.31999969482422,70.06999969482422,70.33000183105469,58.030208587646484,454500
2020-01-30,65.66000366210938,66.98999786376953,63.099998474121094,64.62999725341797,53.327056884765625,1224200
2020-01-31,64.16000366210938,65.05999755859375,62.09000015258789,62.70000076293945,51.73459243774414,534600
2020-02-03,62.790000915527344,63.25,61.91999816894531,62.27000045776367,51.379783630371094,429100
