date,open,high,low,close,adj_close,volume
,IPAR,IPAR,IPAR,IPAR,IPAR,IPAR
2020-01-02,73.11000061035156,73.11000061035156,71.91000366210938,72.51000213623047,64.51122283935547,130600
2020-01-03,71.98999786376953,72.88999938964844,71.5199966430664,71.93000030517578,63.995201110839844,88100
2020-01-06,71.56999969482422,72.4000015258789,71.20999908447266,71.52999877929688,63.63933181762695,80800
2020-01-07,71.44000244140625,71.83999633789062,70.73999786376953,71.76000213623047,63.84394454956055,62500
2020-01-08,71.66000366210938,72.22000122070312,71.12000274658203,71.12000274658203,63.27455139160156,95800
2020-01-09,71.58000183105469,72.98999786376953,71.33999633789062,71.97000122070312,64.03080749511719,103900
2020-01-10,71.9800033569336,72.76000213623047,71.29000091552734,71.51000213623047,63.62154006958008,76500
2020-01-13,71.72000122070312,72.16999816894531,71.68000030517578,72.05000305175781,64.10196685791016,73700
2020-01-14,71.7300033569336,73.0,71.72000122070312,72.19000244140625,64.22651672363281,216700
2020-01-15,72.2300033569336,74.54000091552734,72.18000030517578,74.19999694824219,66.0147933959961,186700
2020-01-16,74.37999725341797,75.0,73.97000122070312,74.37999725341797,66.17494201660156,64200
2020-01-17,74.51000213623047,74.95999908447266,73.41000366210938,73.66999816894531,65.54325103759766,63200
2020-01-21,73.5999984741211,73.6500015258789,72.31999969482422,73.05999755859375,65.00054168701172,95700
2020-01-22,73.05999755859375,73.83999633789062,72.41000366210938,73.05999755859375,65.00054168701172,60300
2020-01-23,73.12999725341797,73.29000091552734,71.98999786376953,72.66999816894531,64.65357208251953,87700
2020-01-24,72.88999938964844,73.4800033569336,71.72000122070312,71.91999816894531,63.986297607421875,59600
2020-01-27,71.11000061035156,71.5999984741211,70.63999938964844,70.63999938964844,62.84750747680664,46700
2020-01-28,71.05000305175781,72.94000244140625,70.66000366210938,72.56999969482422,64.56460571289062,81100
2020-01-29,72.48999786376953,72.51000213623047,70.31999969482422,70.41999816894531,62.65177917480469,71700
2020-01-30,70.0,70.63999938964844,69.30000305175781,70.22000122070312,62.47386169433594,64400
2020-01-31,70.30999755859375,71.26000213623047,68.69999694824219,69.11000061035156,61.48629379272461,81400
2020-02-03,69.44999694824219,70.88999938964844,69.44999694824219,70.4000015258789,62.633975982666016,92300
2020-02-04,70.94999694824219,71.51000213623047,69.77999877929688,69.8499984741211,62.1446647644043,53900
2020-02-05,70.26000213623047,71.0,70.06999969482422,70.81999969482422,63.007652282714844,49900
2020-02-06,71.06999969482422,71.56999969482422,70.43000030517578,70.62999725341797,62.838600158691406,74800
2020-02-07,70.5,70.5,69.08000183105469,69.16999816894531,61.53965759277344,60300
2020-02-10,69.12000274658203,69.55999755859375,68.4800033569336,68.6500015258789,61.0770378112793,62300
