date,open,high,low,close,adj_close,volume
,JBHT,JBHT,JBHT,JBHT,JBHT,JBHT
2020-01-02,117.9000015258789,117.98999786376953,116.44000244140625,117.5199966430664,111.19103240966797,623100
2020-01-03,115.8499984741211,117.20999908447266,115.8499984741211,117.02999877929688,110.7274398803711,535200
2020-01-06,111.22000122070312,116.19999694824219,111.22000122070312,115.0,108.80677032470703,928700
2020-01-07,114.8499984741211,117.86000061035156,113.98999786376953,117.6500015258789,111.31404876708984,614500
2020-01-08,117.7699966430664,119.41000366210938,117.29000091552734,118.76000213623047,112.36428833007812,652300
2020-01-09,119.37000274658203,120.12999725341797,118.5,119.02999877929688,112.61974334716797,1058500
2020-01-10,119.41999816894531,120.11000061035156,118.79000091552734,119.08000183105469,112.66703796386719,558600
2020-01-13,118.79000091552734,119.33000183105469,117.7300033569336,118.5,112.11829376220703,566800
2020-01-14,118.75,119.7699966430664,118.38999938964844,118.98999786376953,112.58187866210938,613800
2020-01-15,118.83999633789062,120.44000244140625,118.52999877929688,119.04000091552734,112.62921142578125,654100
2020-01-16,119.76000213623047,120.83999633789062,119.13999938964844,119.76000213623047,113.31044006347656,1119400
2020-01-17,114.56999969482422,119.0,112.79000091552734,114.68000030517578,108.5040054321289,3945800
2020-01-21,115.16999816894531,118.37999725341797,114.76000213623047,115.86000061035156,109.62043762207031,1869100
2020-01-22,114.5199966430664,116.19000244140625,113.62999725341797,114.30000305175781,108.14447784423828,1323500
2020-01-23,114.54000091552734,116.76000213623047,113.91000366210938,116.5,110.22599029541016,982700
2020-01-24,116.91000366210938,116.94999694824219,114.0,115.70999908447266,109.47852325439453,561500
2020-01-27,113.66999816894531,115.41999816894531,113.45999908447266,114.80999755859375,108.62699890136719,837300
2020-01-28,115.02999877929688,115.62999725341797,112.7699966430664,112.86000061035156,106.78203582763672,702900
2020-01-29,113.0999984741211,114.16000366210938,111.81999969482422,111.93000030517578,105.90210723876953,784300
2020-01-30,111.30999755859375,111.91999816894531,110.23999786376953,111.68000030517578,105.66556549072266,537500
2020-01-31,111.19999694824219,111.79000091552734,107.5199966430664,107.93000030517578,102.11751556396484,921300
2020-02-03,108.55000305175781,111.12999725341797,107.80000305175781,110.44000244140625,104.4923324584961,735700
